DISTRICT,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
AURAIYA,0.0074139,0.0090615,0.0042287,0.0017574,0.0059311,0.0328409,0.1246087,0.1473447,0.0796310,0.0278434,0.0020320,0.0031852
AURANGABAD,0.0099401,0.0061508,0.0042836,0.0031303,0.0079082,0.0670548,0.1592619,0.1394365,0.1063211,0.0243286,0.0042836,0.0032951
AURANGABAD,0.0013729,0.0008787,0.0017025,0.0015377,0.0093910,0.0716129,0.0858367,0.0867154,0.0821572,0.0325114,0.0137295,0.0058762
AZAMGARH,0.0069197,0.0056016,0.0048328,0.0033500,0.0085123,0.0523917,0.1835905,0.1600308,0.1271899,0.0227909,0.0037893,0.0021967
BADAUN,0.0073590,0.0088418,0.0064254,0.0020320,0.0079631,0.0381130,0.1386128,0.1607447,0.0788072,0.0322917,0.0014828,0.0032402
BADGAM,0.0310835,0.0361909,0.0586523,0.0483827,0.0435499,0.0193860,0.0304794,0.0302598,0.0222417,0.0180131,0.0152123,0.0154319
BAGALKOTE,0.0009885,0.0008238,0.0024713,0.0129057,0.0314680,0.0439892,0.0404196,0.0398155,0.0752924,0.0619474,0.0138942,0.0038443
BAGESHWAR,0.0253721,0.0257016,0.0260311,0.0140041,0.0256467,0.0726564,0.1646988,0.1520677,0.0819924,0.0314130,0.0044483,0.0115328
BAGPAT,0.0095008,0.0089516,0.0069746,0.0040639,0.0074688,0.0235049,0.1065407,0.1209841,0.0484376,0.0118623,0.0026910,0.0038443
BAHRAICH,0.0114229,0.0087869,0.0068647,0.0049426,0.0180680,0.0847932,0.1849635,0.1632160,0.1128014,0.0281180,0.0013729,0.0054369
BAKSA BARPETA,0.0056565,0.0147729,0.0296557,0.0964907,0.2150036,0.3812950,0.4158932,0.2895821,0.2537756,0.0780383,0.0112033,0.0069746
BALAGHAT,0.0114778,0.0084024,0.0082926,0.0038992,0.0036795,0.1013235,0.2610248,0.2481740,0.1224120,0.0309737,0.0045033,0.0095008
BALASORE,0.0065352,0.0197704,0.0210885,0.0325114,0.0663957,0.1422923,0.1577242,0.1836455,0.1627766,0.1043989,0.0213081,0.0036246
BALLIA,0.0058762,0.0046680,0.0036795,0.0029106,0.0110934,0.0609039,0.1606898,0.1428415,0.0898457,0.0228458,0.0029656,0.0014279
BALRAMPUR,0.0103246,0.0092811,0.0045033,0.0051074,0.0211983,0.0776539,0.2116536,0.1811741,0.1180735,0.0398704,0.0006590,0.0058213
BANASKANTHA,0.0007689,0.0007139,0.0013180,0.0004943,0.0020320,0.0348179,0.1208194,0.0996760,0.0541490,0.0091713,0.0040639,0.0006041
BANDA,0.0096656,0.0063705,0.0034598,0.0024713,0.0066451,0.0505794,0.1433357,0.1737602,0.0938547,0.0199901,0.0030205,0.0048328
BANDIPORE,0.0377286,0.0512384,0.0656818,0.0490966,0.0348729,0.0169147,0.0253172,0.0317425,0.0186172,0.0208688,0.0146082,0.0179582
BANGALORE RUR,0.0009336,0.0031852,0.0041738,0.0198803,0.0511286,0.0391015,0.0503597,0.0648580,0.0938547,0.0943489,0.0304245,0.0074139
BANGALORE URB,0.0012631,0.0036795,0.0045033,0.0215278,0.0583777,0.0405843,0.0503048,0.0707892,0.0995661,0.0877039,0.0296007,0.0098852
BANKA,0.0055467,0.0051074,0.0064254,0.0086221,0.0252073,0.0758965,0.1488824,0.1327366,0.1180186,0.0464605,0.0031303,0.0030754
BANKURA,0.0065901,0.0098852,0.0120819,0.0199352,0.0367401,0.1180735,0.1665111,0.1596463,0.1330661,0.0577736,0.0053820,0.0052172
BANSWARA,0.0015377,0.0002746,0.0008787,0.0004943,0.0028557,0.0536548,0.1561316,0.1661266,0.0808941,0.0134000,0.0069197,0.0017574
BARABANKI,0.0092811,0.0079082,0.0044483,0.0031852,0.0097754,0.0615630,0.1700807,0.1561865,0.1231808,0.0276237,0.0015926,0.0047779
BARAMULLA,0.0637597,0.0862211,0.1041243,0.0801252,0.0611785,0.0332253,0.0391015,0.0384425,0.0252622,0.0261409,0.0197155,0.0443737
BARAN,0.0038992,0.0017574,0.0015377,0.0009336,0.0035697,0.0402548,0.1621726,0.1667307,0.0659015,0.0138393,0.0053270,0.0023615
BAREILLY,0.0111483,0.0103795,0.0069197,0.0030754,0.0102696,0.0530507,0.1618430,0.1629414,0.0910539,0.0317975,0.0013180,0.0035147
BARGARH,0.0047779,0.0081828,0.0099401,0.0081278,0.0107090,0.1034653,0.1988577,0.1962766,0.1196661,0.0281180,0.0037344,0.0028008
BARMER,0.0006590,0.0009336,0.0012631,0.0017574,0.0049975,0.0150475,0.0486573,0.0476138,0.0223516,0.0022516,0.0017574,0.0002197
BARNALA,0.0080729,0.0092811,0.0054918,0.0063156,0.0052721,0.0166401,0.0710638,0.0645285,0.0430556,0.0100500,0.0021418,0.0048877
BARODA,0.0006590,0.0000000,0.0002746,0.0004393,0.0025262,0.0762260,0.1826020,0.1682135,0.0907244,0.0142237,0.0076885,0.0013180
BARPETA,0.0056565,0.0147729,0.0296557,0.0964907,0.2150036,0.3812950,0.4158932,0.2895821,0.2537756,0.0780383,0.0112033,0.0069746
BARWANI,0.0015926,0.0004393,0.0010434,0.0004943,0.0039541,0.0579933,0.1087374,0.1068702,0.0753474,0.0194959,0.0059311,0.0031852
BASTAR,0.0045033,0.0047229,0.0088967,0.0201549,0.0211983,0.1119227,0.1927069,0.2053380,0.1238948,0.0447032,0.0068098,0.0034598
BASTI,0.0084574,0.0057115,0.0059861,0.0030205,0.0113680,0.0710638,0.1782086,0.1588775,0.1100555,0.0255368,0.0012082,0.0041188
BATHINDA,0.0063156,0.0095557,0.0071393,0.0043934,0.0053270,0.0183975,0.0601900,0.0633753,0.0343237,0.0105442,0.0014828,0.0029656
BEED,0.0013729,0.0010984,0.0020869,0.0038443,0.0108188,0.0704597,0.0747982,0.0752375,0.0922072,0.0391565,0.0124114,0.0055467
BEGUSARAI,0.0044483,0.0046131,0.0072492,0.0095008,0.0268549,0.0847383,0.1629963,0.1402054,0.1181833,0.0345983,0.0026361,0.0029656
BELGAM,0.0003844,0.0004943,0.0034049,0.0165852,0.0410786,0.0716129,0.1120325,0.0695810,0.0620572,0.0640343,0.0168049,0.0028008
BELLARY,0.0007689,0.0007689,0.0015926,0.0143885,0.0317975,0.0397606,0.0422868,0.0490417,0.0754023,0.0638695,0.0170795,0.0052721
BETUL,0.0041188,0.0046680,0.0051074,0.0032402,0.0035147,0.0752375,0.1595914,0.1611291,0.1084628,0.0271294,0.0073590,0.0054369
BHABUA,0.0144983,0.0090065,0.0054918,0.0030205,0.0102147,0.0719424,0.1711791,0.1644242,0.1389423,0.0232852,0.0030205,0.0035147
BHADRAK,0.0054369,0.0187270,0.0206491,0.0291614,0.0570597,0.1199407,0.1481685,0.1944094,0.1250481,0.0875940,0.0193860,0.0022516
BHAGALPUR,0.0097205,0.0057664,0.0056016,0.0127410,0.0359712,0.1086276,0.1598111,0.1433357,0.1249382,0.0486023,0.0047229,0.0035147
BHANDARA,0.0087319,0.0072492,0.0097205,0.0056016,0.0062606,0.0922621,0.2067110,0.2148388,0.1107145,0.0339393,0.0073590,0.0065352
BHARATPUR,0.0051074,0.0048877,0.0029106,0.0020869,0.0061508,0.0221868,0.1014334,0.1262013,0.0564007,0.0097205,0.0018672,0.0021418
BHARUCH,0.0001648,0.0000549,0.0004393,0.0000549,0.0026910,0.0743588,0.1555275,0.1214784,0.0803998,0.0125762,0.0045582,0.0007139
BHAVNAGAR,0.0002746,0.0001648,0.0006590,0.0000549,0.0015926,0.0634302,0.0981932,0.0768851,0.0567851,0.0121918,0.0068098,0.0005492
BHILWARA,0.0026361,0.0020869,0.0021418,0.0016475,0.0057115,0.0329507,0.1173046,0.1195563,0.0492064,0.0064254,0.0043934,0.0020320
BHIND,0.0057115,0.0038992,0.0023066,0.0007139,0.0025262,0.0305344,0.1216431,0.1435554,0.0807293,0.0216926,0.0021418,0.0037893
BHIWANI,0.0080180,0.0057115,0.0044483,0.0030205,0.0061508,0.0177385,0.0704047,0.0724916,0.0307540,0.0073590,0.0023066,0.0019770
BHOJPUR,0.0068647,0.0073590,0.0037893,0.0056565,0.0136746,0.0596958,0.1837553,0.1524521,0.1117579,0.0247680,0.0047229,0.0029656
BHOPAL,0.0064803,0.0038443,0.0035697,0.0013729,0.0053270,0.0613982,0.1858971,0.1954528,0.1056620,0.0185622,0.0045582,0.0052172
BIDAR,0.0032402,0.0033500,0.0055467,0.0119172,0.0172442,0.0752924,0.1047284,0.1079686,0.0936350,0.0513482,0.0114778,0.0034049
BIJAPUR,0.0034049,0.0023066,0.0065352,0.0103795,0.0068098,0.1075842,0.2516338,0.2669559,0.1257071,0.0509638,0.0051623,0.0018123
BIJAPUR,0.0013180,0.0014828,0.0028557,0.0110385,0.0255368,0.0518974,0.0504146,0.0501400,0.0869900,0.0613433,0.0136746,0.0037893
BIJNOR,0.0187819,0.0137295,0.0132352,0.0045033,0.0104893,0.0505245,0.1880389,0.1762865,0.0872096,0.0219672,0.0035147,0.0065352
BIKANER,0.0022516,0.0042836,0.0031303,0.0022516,0.0078533,0.0160360,0.0470646,0.0409688,0.0215278,0.0024164,0.0013729,0.0013180
BILASPUR,0.0343237,0.0366852,0.0296557,0.0143336,0.0225713,0.0589818,0.1712340,0.1670602,0.0843539,0.0148278,0.0076885,0.0157614
BILASPUR,0.0095557,0.0094459,0.0098303,0.0082377,0.0099401,0.0939645,0.1965512,0.1846889,0.1112087,0.0300950,0.0051623,0.0062606
BIRBHUM,0.0073590,0.0088418,0.0116426,0.0169696,0.0432204,0.1220825,0.1723873,0.1640947,0.1488275,0.0577187,0.0086770,0.0030754
BISHNUPUR,0.0299303,0.0274589,0.0617277,0.0593662,0.0874842,0.2392224,0.1704652,0.2025921,0.1204899,0.1301554,0.0312483,0.0082377
BOKARO,0.0064803,0.0075238,0.0100500,0.0104344,0.0209786,0.1035752,0.1692020,0.1651930,0.1376792,0.0427810,0.0076885,0.0035147
BOLANGIR,0.0060959,0.0087319,0.0110385,0.0124664,0.0205942,0.1101104,0.2120929,0.2014938,0.1210940,0.0381679,0.0074688,0.0034598
BONGAIGAON,0.0054918,0.0171344,0.0315778,0.1007194,0.2427371,0.3439508,0.4264924,0.2673403,0.2231863,0.0923719,0.0102696,0.0063705
BOUDHGARH,0.0069746,0.0143885,0.0163655,0.0198803,0.0374540,0.1096710,0.1752979,0.2049536,0.1264210,0.0629359,0.0187819,0.0022516
BULANDSHAHAR,0.0088967,0.0072492,0.0071942,0.0021418,0.0076885,0.0293262,0.1232907,0.1397111,0.0760064,0.0198803,0.0023066,0.0041188
BULDHANA,0.0025262,0.0016475,0.0033500,0.0015926,0.0043934,0.0767203,0.1051678,0.1072547,0.0659564,0.0289417,0.0087869,0.0038443
BUNDI,0.0030754,0.0018123,0.0018123,0.0012631,0.0036246,0.0341589,0.1409193,0.1294964,0.0556318,0.0091713,0.0045582,0.0019770
BURDWAN,0.0058762,0.0121918,0.0108737,0.0207590,0.0432753,0.1088473,0.1615135,0.1566808,0.1378988,0.0548081,0.0062606,0.0032951
BURHANPUR,0.0023066,0.0015926,0.0036795,0.0011533,0.0088967,0.0872645,0.1229612,0.1382833,0.0821572,0.0250975,0.0088967,0.0059861
BUXAR,0.0077434,0.0036795,0.0037344,0.0020320,0.0096656,0.0609039,0.1576693,0.1444341,0.1099456,0.0294909,0.0037344,0.0026361
CACHAR,0.0073041,0.0275688,0.0924268,0.1441595,0.2122028,0.2922181,0.2889780,0.2585535,0.1981438,0.1001702,0.0191114,0.0062606
CANNUR,0.0013729,0.0010984,0.0041738,0.0317975,0.1290571,0.4681202,0.5793838,0.2970509,0.1212038,0.1259817,0.0503048,0.0132352
CENTRAL DELHI,0.0090065,0.0089516,0.0084024,0.0048877,0.0105992,0.0328409,0.1212038,0.1348234,0.0605195,0.0112582,0.0030754,0.0047229
CHAMARAJANAGA,0.0018672,0.0032951,0.0072492,0.0380032,0.0720523,0.0339393,0.0377286,0.0362458,0.0681531,0.0866604,0.0344335,0.0133450
CHAMBA,0.0693064,0.0619474,0.0660662,0.0281180,0.0293262,0.0727113,0.3115492,0.2631666,0.1249382,0.0267450,0.0120270,0.0308639
CHAMOLI,0.0315778,0.0426712,0.0449778,0.0235598,0.0381130,0.0596958,0.1590422,0.1807897,0.0723818,0.0238893,0.0056016,0.0135098
CHAMPAWAT,0.0238893,0.0215827,0.0185073,0.0147729,0.0288319,0.1170300,0.2558625,0.2231314,0.1287276,0.0425065,0.0045033,0.0124664
CHAMPHAI,0.0073590,0.0119721,0.0455819,0.0673843,0.1436103,0.1924872,0.2028118,0.1848536,0.1626119,0.1244989,0.0354220,0.0123565
CHANDAULI,0.0101598,0.0066451,0.0063705,0.0029106,0.0056565,0.0433851,0.1660168,0.1558570,0.0994014,0.0174639,0.0056016,0.0020320
CHANDEL,0.0046680,0.0153221,0.0199352,0.0427810,0.0983030,0.3349443,0.2967214,0.2695920,0.2009995,0.1399857,0.0265253,0.0041738
CHANDIGARH,0.0243286,0.0213631,0.0182327,0.0081278,0.0165303,0.0659015,0.1550881,0.1578890,0.0847383,0.0174639,0.0054369,0.0128508
CHANDRAPUR,0.0062606,0.0048877,0.0080180,0.0059311,0.0063705,0.0991817,0.2053929,0.2054479,0.1115383,0.0357516,0.0054369,0.0043385
CHANGLANG,0.0386073,0.0938547,0.2020429,0.3044648,0.1835356,0.2889780,0.2530617,0.1600857,0.1941897,0.1510242,0.0356417,0.0407491
CHATRA,0.0106541,0.0101598,0.0061508,0.0031852,0.0097754,0.0866055,0.1847987,0.1664012,0.1285628,0.0305893,0.0028557,0.0038443
CHENNAI,0.0121369,0.0080180,0.0016475,0.0065901,0.0238893,0.0352024,0.0596408,0.0812236,0.0650777,0.1463562,0.2019880,0.0854522
CHHATARPUR,0.0096656,0.0069197,0.0032951,0.0017025,0.0029106,0.0521720,0.1742545,0.2029766,0.1115383,0.0187819,0.0050524,0.0046131
CHHIMTUIPUI,0.0075787,0.0171344,0.0592564,0.1020375,0.1929815,0.2568510,0.2464166,0.2639903,0.2146741,0.1397660,0.0358614,0.0090615
CHHINDWARA,0.0096106,0.0080729,0.0095008,0.0043934,0.0048328,0.0806195,0.1557472,0.1526718,0.0957768,0.0238893,0.0088967,0.0070295
CHICKBALLAPUR,0.0011533,0.0025262,0.0045033,0.0149377,0.0381130,0.0353122,0.0489868,0.0576089,0.0842441,0.0861113,0.0290516,0.0085123
CHIKMAGALUR,0.0008787,0.0010984,0.0065901,0.0330606,0.0581581,0.2169257,0.3636114,0.2334011,0.0962162,0.0919326,0.0322917,0.0067549
CHIRANG(BONGAI,0.0054918,0.0171344,0.0315778,0.1007194,0.2427371,0.3439508,0.4264924,0.2673403,0.2231863,0.0923719,0.0102696,0.0063705
CHITRADURGA,0.0007689,0.0006590,0.0024164,0.0141688,0.0356417,0.0277335,0.0308089,0.0323466,0.0579384,0.0639244,0.0185622,0.0048328
CHITTOOR,0.0042287,0.0041738,0.0055467,0.0140590,0.0369048,0.0366852,0.0549728,0.0605195,0.0768851,0.0918227,0.0754023,0.0320721
CHITTORGARH,0.0023615,0.0008238,0.0014828,0.0018123,0.0055467,0.0392663,0.1372398,0.1482234,0.0650228,0.0099401,0.0072492,0.0013180
CHURACHANDPUR,0.0071393,0.0170795,0.0399253,0.1028612,0.1307046,0.2318084,0.2238454,0.2101159,0.1912790,0.0951178,0.0275139,0.0062606
CHURU,0.0034049,0.0040639,0.0034598,0.0026910,0.0090065,0.0207040,0.0695261,0.0558515,0.0261958,0.0054369,0.0013180,0.0013180
COIMBATORE,0.0044483,0.0067000,0.0094459,0.0293262,0.0437696,0.0180680,0.0259212,0.0222967,0.0379483,0.0834203,0.0711736,0.0260311
COOCH BEHAR,0.0048877,0.0087869,0.0176836,0.0762810,0.1896864,0.3672909,0.4749849,0.4025482,0.2586084,0.0775990,0.0082926,0.0045582
CUDDALORE,0.0153221,0.0088967,0.0080180,0.0093360,0.0275139,0.0259762,0.0412433,0.0709539,0.0722170,0.1209292,0.1621726,0.1001153
CUTTACK,0.0080729,0.0147729,0.0158713,0.0237245,0.0408040,0.1247735,0.1856225,0.1934758,0.1345488,0.0683728,0.0220770,0.0024713
DAHOD(PNML),0.0009885,0.0001098,0.0007139,0.0005492,0.0024713,0.0609589,0.1562963,0.1603603,0.0909990,0.0152672,0.0060410,0.0014828
DAKSHIN KANDA,0.0010434,0.0003844,0.0035147,0.0218573,0.0993465,0.5366577,0.6739524,0.4577956,0.1722225,0.1301005,0.0450327,0.0085672
DAMAN,0.0002197,0.0001648,0.0000000,0.0000000,0.0040639,0.2114888,0.4857488,0.3602065,0.2149487,0.0211983,0.0057664,0.0000000
DAMOH,0.0110934,0.0090615,0.0059861,0.0030754,0.0029106,0.0667802,0.1978692,0.2191773,0.1043440,0.0179032,0.0050524,0.0051074
DANGS,0.0008238,0.0005492,0.0007689,0.0018672,0.0068647,0.1420177,0.4117744,0.3232467,0.2002856,0.0362458,0.0071942,0.0013180
DANTEWADA,0.0014279,0.0004393,0.0024713,0.0080729,0.0120270,0.0991268,0.2240101,0.2092372,0.1146137,0.0511835,0.0059311,0.0007139
DARBHANGA,0.0087869,0.0052172,0.0067549,0.0116975,0.0328958,0.0860563,0.1628316,0.1565709,0.1023120,0.0366302,0.0047229,0.0025811
DARJEELING,0.0265253,0.0185622,0.0316876,0.0716679,0.1440496,0.2936460,0.4156736,0.3547147,0.2761272,0.0652974,0.0092262,0.0054369
DARRANG,0.0071942,0.0117524,0.0293811,0.0927014,0.1757373,0.2304904,0.1899061,0.1494316,0.1216431,0.0523917,0.0094459,0.0051074
DATIA,0.0049975,0.0046680,0.0027459,0.0018672,0.0036246,0.0341589,0.1350980,0.1609094,0.0958866,0.0218573,0.0022516,0.0043385
DAUSA,0.0047779,0.0038443,0.0023066,0.0022516,0.0070295,0.0287770,0.1301554,0.1253226,0.0518974,0.0093910,0.0025811,0.0022516
DAVANGERE,0.0006041,0.0004393,0.0023066,0.0192213,0.0406392,0.0432204,0.0565105,0.0477786,0.0638695,0.0683179,0.0246581,0.0040639
DEHRADUN,0.0283926,0.0270745,0.0273491,0.0132901,0.0278983,0.1017079,0.3752540,0.3700917,0.1426218,0.0343786,0.0070844,0.0112582
DEOGARH,0.0066451,0.0109287,0.0110385,0.0085672,0.0177934,0.1244440,0.2297216,0.2551486,0.1381734,0.0319622,0.0049426,0.0028008
DEOGHAR,0.0073590,0.0066451,0.0052721,0.0074139,0.0263606,0.0946235,0.1611291,0.1465759,0.1337800,0.0420122,0.0052172,0.0018123
DEORIA,0.0075238,0.0097754,0.0050524,0.0047779,0.0131803,0.0732056,0.1738701,0.1646988,0.1104399,0.0291614,0.0021967,0.0030754
DEWAS,0.0041188,0.0021967,0.0020869,0.0007139,0.0034049,0.0702400,0.1711242,0.1816135,0.0986325,0.0188918,0.0074139,0.0059861
DHALAI,0.0074688,0.0213631,0.0579384,0.1352628,0.2368609,0.2650887,0.1998462,0.1857323,0.1405349,0.1003899,0.0231204,0.0062606
DHAMTARI,0.0021418,0.0049426,0.0062606,0.0062057,0.0094459,0.0867154,0.1964962,0.1793619,0.1143940,0.0317425,0.0023066,0.0017574
DHANBAD,0.0065901,0.0095557,0.0107090,0.0099951,0.0272393,0.1103301,0.1868856,0.1702455,0.1488824,0.0546433,0.0057664,0.0034049
DHAR,0.0018123,0.0005492,0.0007689,0.0004393,0.0022516,0.0694162,0.1462464,0.1436103,0.0947883,0.0191114,0.0060959,0.0015377
DHARMAPURI,0.0043934,0.0056016,0.0087319,0.0229008,0.0564556,0.0294360,0.0427810,0.0545335,0.0892965,0.0991268,0.0567302,0.0254270
DHARWAD,0.0012631,0.0017574,0.0037893,0.0255917,0.0453073,0.0624966,0.0818826,0.0557966,0.0656269,0.0661211,0.0217475,0.0034049
DHEMAJI(LAKHI,0.0152123,0.0266901,0.0421220,0.0908891,0.1822725,0.2901313,0.3323631,0.2567961,0.2329068,0.0770498,0.0126311,0.0112033
DHENKANAL,0.0040090,0.0114229,0.0171893,0.0210885,0.0391015,0.1241694,0.1734307,0.2027020,0.1281784,0.0689220,0.0140041,0.0025262
DHOLPUR,0.0047229,0.0052172,0.0038443,0.0013729,0.0047229,0.0299303,0.1162612,0.1461365,0.0646384,0.0144434,0.0023615,0.0029106
DHUBRI,0.0056565,0.0064254,0.0255917,0.0810039,0.2150585,0.3311549,0.3046296,0.2299412,0.1867758,0.0851777,0.0105442,0.0022516
DHULE,0.0013729,0.0005492,0.0017574,0.0008787,0.0056565,0.0645285,0.0927563,0.0721621,0.0580482,0.0238893,0.0091713,0.0026910
DIBANG VALLEY,0.0459663,0.0845186,0.1666758,0.2106651,0.1471800,0.2055028,0.1493767,0.0881432,0.1464660,0.0918227,0.0351475,0.0307540
DIBRUGARH,0.0168049,0.0291614,0.0657916,0.1262562,0.1605799,0.2202208,0.2852436,0.2224724,0.1789774,0.0751826,0.0131803,0.0101598
DIMAPUR,0.0080729,0.0022516,0.0314130,0.0427261,0.0833654,0.1124719,0.1030809,0.1493767,0.0828162,0.0686474,0.0239991,0.0089516
DINDIGUL,0.0104344,0.0065352,0.0123016,0.0343786,0.0455819,0.0226262,0.0306991,0.0387171,0.0701851,0.1033006,0.0873195,0.0490417
DINDORI,0.0107639,0.0106541,0.0075787,0.0027459,0.0049975,0.1081333,0.2269757,0.2215388,0.1056071,0.0204295,0.0055467,0.0091164
DIU,0.0003844,0.0003844,0.0002197,0.0001098,0.0004943,0.0922072,0.1547037,0.0732056,0.0350376,0.0178483,0.0078533,0.0004943
DNH,0.0002197,0.0001648,0.0000000,0.0000000,0.0040639,0.2114888,0.4857488,0.3602065,0.2149487,0.0211983,0.0057664,0.0000000
DODA,0.0655720,0.0888572,0.1172497,0.0700203,0.0551376,0.0398704,0.0803998,0.0690867,0.0530507,0.0224614,0.0255368,0.0461860
DUMKA,0.0084574,0.0079631,0.0094459,0.0143336,0.0378933,0.1114833,0.1796914,0.1671152,0.1441046,0.0683728,0.0068098,0.0030205
DUNGARPUR,0.0009336,0.0003295,0.0009885,0.0006590,0.0025262,0.0423417,0.1254874,0.1218628,0.0605744,0.0081278,0.0069197,0.0014828
DURG,0.0035147,0.0031303,0.0067549,0.0038443,0.0051074,0.0950080,0.1788127,0.1761217,0.1091219,0.0310286,0.0025811,0.0016475
EAST CHAMPARAN,0.0069746,0.0053270,0.0042836,0.0072492,0.0269647,0.0897908,0.1946839,0.1633258,0.1132407,0.0401999,0.0024164,0.0032951
EAST DELHI,0.0090065,0.0089516,0.0084024,0.0048877,0.0105992,0.0328409,0.1212038,0.1348234,0.0605195,0.0112582,0.0030754,0.0047229
EAST GARO HIL,0.0030754,0.0087869,0.0351475,0.1342193,0.1934208,0.2916690,0.2558076,0.1971003,0.1733758,0.0846285,0.0196606,0.0059311
EAST GODAVARI,0.0032951,0.0055467,0.0062057,0.0125213,0.0413532,0.0724367,0.1133505,0.1034653,0.0973145,0.1092866,0.0383327,0.0042836
EAST KAMENG,0.0269098,0.0408589,0.0529958,0.0861662,0.1142292,0.1898512,0.2023725,0.1406997,0.1515185,0.0758965,0.0188918,0.0149377
